Nama Wilayah,,,,,,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,,,,,,
Penajam Paser Utara,391083,426111,447539,466918,499807,513666,538022,583239
Mahakam Hulu,490563,534502,566944,588756,631517,644910,684644,740683
Kota Balikpapan,498721,530710,545971,572108,613622,657521,680499,743084
Kota Samarinda,566392,594645,616365,658307,719710,750055,784198,850842
Kota Bontang,513205,542985,549830,582188,636491,665572,697326,763661
KALIMANTAN UTARA,513614,552040,586049,651416,681035,710994,772914,817876
Malinau,516247,528287,539742,585654,616161,650444,692605,749933
Bulungan,383642,398397,413294,448548,472569,486524,514320,551925
Tana Tidung,354012,366856,376876,406949,425348,440599,462898,490400
Nunukan,351479,377736,403045,430630,450718,479712,519231,556342
Kota Tarakan,519774,572213,613593,654308,696585,711268,773446,819621
SULAWESI UTARA,317478,333510,344418,371283,391197,410805,427016,463432
Bolaang Mongondow,277338,287751,295834,315400,325227,343302,355639,394032
Minahasa,249736,255535,261388,275444,285596,299072,308634,338802
Kepulauan Sangihe,232736,240321,250475,263268,272971,283852,292549,313945
Kepulauan Talaud,246757,257294,265839,284681,294686,308395,319974,352120
Minahasa Selatan,283561,296600,303738,324860,336715,352603,365119,394739
Minahasa Utara,282494,294308,300764,321679,333535,347938,362428,391699
Bolaang Mongondow Utara,223588,230974,238645,254835,264227,275369,283627,316327
Siau Tagulandang Biaro,264632,276800,284021,302736,312581,327263,339250,370423
Minahasa Tenggara,285791,298736,305919,325896,332966,346746,356988,385636
Bolaang Mongondow Selatan,276229,288862,295875,316305,327648,345819,358465,397381
Bolaang Mongondow Timur,282240,293187,302924,323989,335241,353872,368578,411409
Kota Manado,334732,353018,364820,396196,424473,449679,475683,521012
Kota Bitung,337674,356120,368574,391479,416993,434642,458983,501139
Kota Tomohon,336266,354635,363856,394584,422746,440680,461424,508251
Kota Kotamobagu,274103,289077,298742,323292,343675,363777,385962,426174
SULAWESI TENGAH,375659,391763,413785,441036,474627,496872,530251,568248
Banggai Kepulauan,290742,300753,317475,338815,364025,373799,396904,432673
Banggai,344795,352840,373695,395700,417863,431639,457335,488788
Morowali,379001,381753,402292,428744,463140,478409,507523,553185
Poso,416003,429161,449834,477801,515435,530022,561276,599881
Donggala,281374,291011,308212,336404,360483,369784,395028,421493
Toli-Toli,272499,281882,299052,317448,343770,354427,378317,405556
Buol,304085,314556,332163,351135,375794,387444,410824,438363
